creator_id,creator_name,series_name,season_id,episode_no,views,likes,watchlist,subscribers,episode_duration,completion_rate,genre,language,year,series_duration
C001,Arjun Rao,City Stories,S1,37,65892,4141,1376,11669,111,0.75,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,38,83588,5969,1326,11669,80,0.77,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,39,103408,5021,2272,11669,100,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,40,17268,965,345,11669,35,0.79,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,41,44169,2762,1068,11669,42,0.79,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,42,37326,1749,1297,11669,104,0.66,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,43,21534,665,635,11669,109,0.87,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,44,24249,1866,695,11669,46,0.71,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,45,50072,3947,1995,11669,56,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,46,46604,3606,917,11669,65,0.81,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,47,59486,3661,946,11669,93,0.72,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,48,20752,1202,514,11669,77,0.79,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,49,145373,9890,4708,11669,75,0.56,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,50,20871,1196,558,11669,56,0.75,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,51,10623,594,115,11669,51,0.79,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,52,16724,816,424,11669,83,0.7,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,53,83008,4114,2641,11669,86,0.55,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,54,27928,909,920,11669,83,0.77,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,55,11134,626,171,11669,68,0.69,Drama,Hindi,2024,3986
C002,Neha Sharma,Quick Bites,S1,1,18072,912,686,16833,96,0.86,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,2,17002,1073,523,16833,106,0.72,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,3,18523,578,273,16833,97,0.78,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,4,20078,1421,414,16833,60,0.75,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,5,16677,589,215,16833,60,0.75,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,6,19199,1193,273,16833,33,0.56,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,7,21642,958,229,16833,87,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,8,18231,969,496,16833,55,0.59,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,9,15740,599,230,16833,112,0.79,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,10,16650,890,343,16833,103,0.65,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,11,22483,1077,229,16833,43,0.61,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,12,18969,862,359,16833,45,0.74,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,13,21666,724,708,16833,37,0.59,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,14,18812,931,405,16833,47,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,15,18563,813,238,16833,33,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,16,22833,738,228,16833,38,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,17,10955,798,219,16833,41,0.58,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,18,25501,1275,534,16833,68,0.74,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,19,12773,563,495,16833,57,0.7,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,20,14706,1030,413,16833,76,0.59,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,21,13660,607,463,16833,58,0.89,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,22,19422,1375,698,16833,36,0.76,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,23,32622,2222,1197,16833,106,0.56,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,24,23507,1682,394,16833,34,0.69,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,25,28158,1804,385,16833,63,0.67,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,26,9343,446,166,16833,96,0.82,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,27,12883,740,304,16833,111,0.73,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,28,17628,1144,605,16833,87,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,29,24418,935,588,16833,50,0.88,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,30,22777,983,329,16833,64,0.75,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,31,38378,2622,593,16833,95,0.63,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,32,45000,2565,583,16833,99,0.65,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,33,40772,2673,662,16833,49,0.73,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,34,13900,863,199,16833,119,0.88,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,35,7113,237,100,16833,33,0.7,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,36,29837,1123,314,16833,116,0.84,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,37,21073,709,438,16833,99,0.56,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,38,9325,372,181,16833,49,0.65,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,39,6893,262,97,16833,75,0.71,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,40,54806,1910,1656,16833,50,0.67,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,41,25741,1042,647,16833,111,0.69,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,42,13548,832,403,16833,34,0.58,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,43,31086,1574,446,16833,82,0.9,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,44,16577,1281,201,16833,84,0.8,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,45,48157,2292,1294,16833,33,0.82,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,46,41787,2287,657,16833,73,0.57,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,47,8797,474,251,16833,43,0.76,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,48,8242,429,114,16833,89,0.65,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,49,26663,1865,642,16833,36,0.61,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,50,54121,2142,612,16833,75,0.66,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,51,10149,391,238,16833,78,0.6,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,52,49564,3022,1871,16833,64,0.8,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,53,8867,424,111,16833,72,0.76,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,54,27341,2068,942,16833,92,0.82,Comedy,Hindi,2024,3848
C002,Neha Sharma,Quick Bites,S1,55,44354,2965,1649,16833,99,0.65,Comedy,Hindi,2024,3848
C003,Rahul Verma,Tech Simplified,S1,1,77505,3386,2185,40532,72,0.9,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,2,80484,3787,1516,40532,44,0.59,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,3,82652,5156,2169,40532,63,0.71,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,4,68403,5447,685,40532,61,0.55,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,5,81268,4366,1039,40532,109,0.71,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,6,71890,4670,2321,40532,53,0.82,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,7,80576,4391,2725,40532,57,0.7,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,8,95772,6206,3312,40532,52,0.79,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,9,61067,3075,2367,40532,58,0.67,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,10,60609,2332,614,40532,43,0.78,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,11,63509,4159,2253,40532,106,0.65,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,12,61729,3179,1853,40532,93,0.69,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,13,95746,6004,2248,40532,66,0.6,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,14,110693,7835,3960,40532,120,0.63,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,15,60697,2919,1538,40532,81,0.56,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,16,84039,4246,2174,40532,113,0.56,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,17,103530,6557,2424,40532,113,0.8,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,18,86666,5770,1511,40532,70,0.78,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,19,97726,5212,2475,40532,94,0.63,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,20,50556,2705,1703,40532,99,0.56,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,21,118663,4585,2091,40532,98,0.9,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,22,88298,6281,3170,40532,58,0.79,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,23,39632,3164,576,40532,66,0.84,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,24,93319,6213,1288,40532,56,0.8,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,25,43006,2414,788,40532,93,0.7,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,26,121786,8233,4066,40532,56,0.68,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,27,131009,8375,1862,40532,115,0.67,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,28,156935,7492,6056,40532,30,0.62,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,29,136777,8576,3710,40532,110,0.55,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,30,124851,4301,3441,40532,108,0.88,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,31,87311,5620,3244,40532,62,0.67,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,32,86471,5565,2476,40532,114,0.68,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,33,112708,8672,1430,40532,31,0.75,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,34,125743,6699,1438,40532,70,0.8,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,35,55900,3893,1342,40532,96,0.58,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,36,65628,4617,1141,40532,49,0.77,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,37,79575,3017,1662,40532,105,0.56,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,38,55494,3276,2199,40532,115,0.82,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,39,111059,7116,4303,40532,34,0.86,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,40,115107,3552,3953,40532,62,0.61,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,41,152611,8514,3693,40532,57,0.85,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,42,52399,3561,1974,40532,33,0.78,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,43,47089,2429,1804,40532,66,0.84,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,44,153597,7995,4824,40532,54,0.73,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,45,101794,7060,2348,40532,31,0.77,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,46,125389,7684,1562,40532,69,0.6,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,47,88178,4580,908,40532,103,0.86,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,48,63458,3504,1150,40532,110,0.77,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,49,284131,21441,5087,40532,30,0.6,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,50,199020,6058,3082,40532,57,0.61,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,51,45505,2201,716,40532,42,0.89,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,52,148812,5809,1747,40532,38,0.66,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,53,93539,4157,1316,40532,50,0.83,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,54,286617,9041,6559,40532,52,0.59,Education,English,2024,4003
C003,Rahul Verma,Tech Simplified,S1,55,55421,4059,2097,40532,116,0.59,Education,English,2024,4003
